jobTitle,department,earnings,year,serviceArea,hourlyWage,status
bldg & dev review tech-inactve,comm dev & neighborhood svcs,3461.48,2016,planning development & transportation,NA,part time
utility worker/ parks,parks,3451.88,2016,community and operation services,NA,part time
clerical aide,recreation,3447.81,2016,community and operation services,NA,part time
youth instructor,recreation,3444.79,2016,community and operation services,NA,part time
lifeguard/water safety instr.,recreation,3423.82,2016,community and operation services,NA,part time
recreation aide,recreation,3411,2016,community and operation services,NA,part time
clerical aide,recreation,3403.71,2016,community and operation services,NA,part time
museum assistant,cultural services,3399,2016,community and operation services,NA,part time
administrative clerk i,ut water utl engineering div,3389.64,2016,planning development & transportation,NA,part time
facility attendant,cultural services,3382.67,2016,community and operation services,NA,part time
utility worker/ parks,parks,3375,2016,community and operation services,NA,part time
associate  env  planner,environmental services,3360,2016,sustainability services,NA,part time
specialized instructor,recreation,3350.36,2016,community and operation services,NA,part time
lifeguard,recreation,3349.62,2016,community and operation services,NA,part time
specialized instructor,recreation,3342.43,2016,community and operation services,NA,part time
administrative support ii,environmental services,3339.41,2016,sustainability services,NA,part time
skate instructor/group,recreation,3330,2016,community and operation services,NA,part time
lifeguard/water safety instr.,recreation,3311.95,2016,community and operation services,NA,part time
criminalist,investigations,3311.42,2016,police services,NA,part time
specialized instructor,park planning & development,3309,2016,community and operation services,NA,part time
facility attendant,recreation,3299.4,2016,community and operation services,NA,part time
lifeguard,recreation,3298.52,2016,community and operation services,NA,part time
aquatics manager,recreation,3265.13,2016,community and operation services,NA,part time
bus fueler,operation services,3255,2016,community and operation services,NA,part time
utility worker/ parks,cultural services,3249.75,2016,community and operation services,NA,part time
parts assistant-inactive,operation services,3248.19,2016,community and operation services,NA,part time
utility worker/ parks,parks,3239.5,2016,community and operation services,NA,part time
lifeguard,recreation,3235.2,2016,community and operation services,NA,part time
lifeguard,recreation,3231.04,2016,community and operation services,NA,part time
skate guard,recreation,3211.03,2016,community and operation services,NA,part time
marketing & publicity asst,utilities customer connections,3200,2016,utility services,NA,part time
parts assistant-inactive,operation services,3190.33,2016,community and operation services,NA,part time
line groundworker/hrly-inactve,electric field services,3168.25,2016,utility services,NA,part time
utility facility locator,electric field services,3165.66,2016,utility services,NA,part time
fitness instructor,recreation,3150.65,2016,community and operation services,NA,part time
youth instructor,recreation,3127.3,2016,community and operation services,NA,part time
aquatics manager,recreation,3117.62,2016,community and operation services,NA,part time
skate instructor/group,recreation,3112.07,2016,community and operation services,NA,part time
youth instructor,recreation,3101.79,2016,community and operation services,NA,part time
dance instructor,recreation,3100,2016,community and operation services,NA,part time
administrative aide,streets,3099.88,2016,planning development & transportation,NA,part time
mgr of gardens on spring creek,cultural services,3096.25,2016,community and operation services,NA,part time
facility attendant,recreation,3090.28,2016,community and operation services,NA,part time
lifeguard/water safety instr.,recreation,3084.58,2016,community and operation services,NA,part time
clerical aide,recreation,3077.52,2016,community and operation services,NA,part time
adult sports field/gym supv,recreation,3056,2016,community and operation services,NA,part time
equipment operator/ parks,parks,3041.75,2016,community and operation services,NA,part time
utility worker/ parks,utilities customer connections,3041.5,2016,utility services,NA,part time
youth instructor,recreation,3040,2016,community and operation services,NA,part time
line groundworker/hrly-inactve,electric field services,3024.5,2016,utility services,NA,part time
skate guard,recreation,3001.88,2016,community and operation services,NA,part time
executive admin asst-inactive,pdt administration,2992.32,2016,planning development & transportation,NA,part time
sr city planner-inactive,comm dev & neighborhood svcs,2980.74,2016,planning development & transportation,NA,part time
clerical aide,recreation,2980.62,2016,community and operation services,NA,part time
specialized instructor,recreation,2979,2016,community and operation services,NA,part time
business analyst,office of the chief,2949.68,2016,police services,NA,part time
aquatics manager,recreation,2942.94,2016,community and operation services,NA,part time
maintenance helper,operation services,2937.66,2016,community and operation services,NA,part time
utility worker/ parks,parks,2930,2016,community and operation services,NA,part time
lifeguard,recreation,2925.91,2016,community and operation services,NA,part time
youth instructor,recreation,2907,2016,community and operation services,NA,part time
lifeguard,recreation,2893.31,2016,community and operation services,NA,part time
utility worker/ parks,parks,2893,2016,community and operation services,NA,part time
